date,holiday_name,holiday_type,description
2026-01-01,New Year's Day,Optional holiday,New Year's Day is celebrated many countries such as in India on the January 1 in the Gregorian calen
2026-01-03,Hazarat Ali's Birthday,Optional holiday,Hazarat Ali's Birthday is a restricted holiday in India
2026-01-14,Pongal,Hinduism,"Many southern states in India, particularly Tamil Nadu, celebrate Pongal as a thanksgiving for the g"
2026-01-14,Makar Sankranti,Hinduism,Makar Sankranti is a restricted holiday in India
2026-01-23,Vasant Panchami,Hinduism,"Vasant Panchami, or India's spring festival, is a Hindu event that includes special rituals and high"
2026-01-26,Republic Day,National holiday,India's Republic Day marks the anniversary of the adoption of the Indian constitution. It is an annu
2026-02-01,Guru Ravidas Jayanti,Optional holiday,Guru Ravidas Jayanti is a restricted holiday in India
2026-02-12,Maharishi Dayanand Saraswati Jayanti,Optional holiday,Maharishi Dayanand Saraswati Jayanti is a restricted holiday in India
2026-02-14,Valentine's Day,Observance,"Valentine's Day is celebrated in many places worldwide, including in India, on February 14 each year"
2026-02-15,Maha Shivaratri,Hinduism,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees,"
2026-02-17,Lunar New Year,Observance,Lunar New year is an annual global celebration in many countries including India.
2026-02-19,Ramadan Start,Observance,"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth mo"
2026-02-19,Shivaji Jayanti,Optional holiday,Shivaji Jayanti is a restricted holiday in India
2026-03-03,Holika Dahana,Optional holiday,Holika Dahana is a restricted holiday in India
2026-03-04,Holi,National holiday,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triump"
2026-03-19,Ugadi,Hinduism,Ugadi is a restricted holiday in India
2026-03-19,Gudi Padwa,Hinduism,Gudi Padwa is a restricted holiday in India
2026-03-20,March Equinox,Season,March Equinox in India (New Delhi)
2026-03-20,Jamat Ul-Vida,Optional holiday,Jamat Ul-Vida is a restricted holiday in India
2026-03-21,Ramzan Id,National holiday,"One day of Eid-ul-Fitar, which marks the end of Ramadan, is a gazetted holiday in India."
2026-03-26,Rama Navami,National holiday,"Rama Navami is a Hindu festival that celebrates the birth of Rama, the first son of King Dasaratha o"
2026-03-31,Mahavir Jayanti,National holiday,Mahavir Jayanti is a gazetted holiday in India
2026-04-02,First day of Passover,Observance,"During Passover, the Jewish people remember the liberation of the Israelites from slavery, their exo"
2026-04-02,Maundy Thursday,Observance,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Goo
2026-04-03,Good Friday,National holiday,Many Christians commemorate Jesus Christ's crucifixion and death on Good Friday. It is a gazetted ho
2026-04-05,Easter Day,Optional holiday,"Easter Sunday commemorates Jesus Christ's resurrection, according to Christian belief."
2026-04-14,Ambedkar Jayanti,Observance,Ambedkar Jayanti is a observance in India
2026-04-14,Mesadi,Optional holiday,Mesadi is a restricted holiday in India
2026-04-14,Vaisakhi,Optional holiday,"Vaisakhi, also known as Baisakhi, is a harvest celebration on either April 13 or April 14 in the Gre"
2026-04-15,Bahag Bihu,Optional holiday,Bahag Bihu is a restricted holiday in India
2026-05-01,International Worker's Day,Observance,
2026-05-01,Buddha Purnima,National holiday,"Vesak, also known as Buddha Purnima, celebrates of Gautama Buddha's birth, enlightenment and death."
2026-05-09,Birthday of Rabindranath,Optional holiday,Birthday of Rabindranath is a restricted holiday in India
2026-05-10,Mother's Day,Observance,Mother's Day celebrates the achievements and efforts of mothers and mother figures.
2026-05-27,Bakrid,National holiday,"For India's more than 200 million Muslims, Bakrid, the Festival of Sacrifice, is one of the holiest "
2026-06-21,June Solstice,Season,June Solstice in India (New Delhi)
2026-06-21,Father's Day,Observance,Father's Day celebrates fatherhood and male parenting on different dates worldwide.
2026-06-26,Muharram/Ashura,National holiday,"Muharram, or the Islamic New Year, is a public holiday in India."
2026-07-16,Rath Yatra,Hinduism,Rath Yatra is a restricted holiday in India
2026-08-02,Friendship Day,Observance,"For many Indian people, the first Sunday of August is dedicated to celebrating their best friends."
2026-08-15,Independence Day,National holiday,India's Independence Day is an annual gazetted holiday on August 15 to commemorate the day India bec
2026-08-26,Milad un-Nabi,National holiday,Milad un-Nabi is a gazetted holiday in India and marks the Prophet Muhammad's birthday.
2026-08-26,Onam,Hinduism,Onam is a restricted holiday in India
2026-08-28,Raksha Bandhan,Hinduism,Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravan
2026-09-04,Janmashtami,National holiday,"Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation"
2026-09-04,Janmashtami (Smarta),Observance,Janmashtami (Smarta) is a observance in India
2026-09-14,Ganesh Chaturthi,Hinduism,Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during t
2026-09-23,September Equinox,Season,September Equinox in India (New Delhi)
2026-10-02,Mahatma Gandhi Jayanti,National holiday,Mahatma Gandhi's birthday is an annual gazetted holiday in India on October 2.
